id_cliente,idade,saldo_atual,divida_atual,renda_anual,valor_em_investimentos,taxa_utilizacao_credito,num_emprestimos,num_contas_bancarias,num_cartoes_credito,dias_atraso_dt_venc,num_pgtos_atrasados,num_consultas_credito,taxa_juros,investe_exterior,pessoa_polit_exp,limite_adicional
1767,21,278.17,2577.05,24196.9,104.31,31.04,6,5,7,21,14,9,15,Não,Não,0
11920,40,268.87,2465.39,19227.38,69.86,36.92,5,8,5,40,23,10,18,Não,Não,0
8910,36,446.64,1055.29,42822.28,134.2,34.56,0,3,6,26,13,3,15,Sim,Não,0
4964,58,321.14,703.05,51786.83,297.35,31.49,0,3,7,12,7,2,1,Sim,Não,0
10100,35,428.72,891.29,44626.85,134.2,28.03,2,8,7,24,10,8,20,Sim,Não,0
2755,58,327.44,1425.54,23922.78,106.62,27.37,0,6,6,23,17,3,5,Não,Não,0
2859,48,635.33,1531.49,82390.35,101.96,36.57,3,7,9,36,16,10,15,Sim,Não,0
5569,20,213.44,3952.83,13401.17,102.9,30.28,9,7,10,55,15,9,27,Não,Não,0
5779,31,272.58,1494.99,24567.92,22.5,30.77,6,7,6,61,24,8,34,Não,Não,0
8283,33,344.21,3223.66,19277.99,46.75,24.13,5,10,6,65,23,9,28,Não,Não,0
10475,44,203.07,4902.52,21672.54,174.92,35.77,7,10,7,44,17,11,30,Não,Sim,0
7208,34,203.39,2229.76,22607.43,193.88,35.48,6,9,8,27,15,10,25,Sim,Não,0
248,39,291.13,1369.54,26510.92,159.73,31.93,2,9,8,17,14,11,26,Não,Não,0
3995,18,233.48,2237.99,15477.93,68.99,31.1,8,7,5,53,27,6,34,Não,Não,0
840,29,298.92,1593.75,72566.5,101.26,39.9,8,10,7,20,24,12,18,Não,Não,0
10552,26,880.34,805.01,117903.8,247.27,38.46,1,5,7,24,13,4,12,Não,Não,0
5911,60,421.93,224.36,39034.56,57.64,37.52,0,4,1,11,3,1,11,Não,Não,1
